date,market,Eggs (local),Tomatoes (local),duplicate
2020-10-15,Mong Pawk,1267,1267,TRUE
2020-10-15,Ban Wai,1313,1313,TRUE
2020-10-15,Lin Haw,1294,1294,TRUE
2020-10-15,Galeng,1500,1500,TRUE
2020-10-15,Lashio Market,1200,1200,TRUE
2020-10-15,Laukkaing,1700,1700,TRUE
2020-10-15,Dein Aw,1267,1267,TRUE
2020-10-15,Nawng Hkit,1294,1294,TRUE
2020-10-15,Kutkai,1400,1400,TRUE
2020-10-15,Mong See,1200,1200,TRUE
2020-10-15,Namhkam Market,1250,1250,TRUE
2020-10-15,Kan Nar Market,1200,1200,TRUE
2020-10-15,Yebyu Market,1250,1250,TRUE
2020-11-15,Tedim Municipal Market,1358,1358,TRUE
2020-11-15,Tonzang,1430,1430,TRUE
2020-11-15,Hakha Myoma Market,1250,1250,TRUE
2020-11-15,Raldunn Market,1250,1250,TRUE
2020-11-15,Matupi,1309.67,1309.67,TRUE
2020-11-15,Paletwa Myoma Market,2857.14,2857.14,TRUE
2020-11-15,Sanbaung,1250,1250,TRUE
2020-11-15,Kanpetlet,1250,1250,TRUE
2020-11-15,Mindat Myoma Market,1000,1000,TRUE
2020-11-15,Bhamo Market,1100,1100,TRUE
2020-11-15,Loijie,1400,1400,TRUE
2020-11-15,Man Wein Gyi,1300,1300,TRUE
2020-11-15,Mansi,1500,1500,TRUE
2020-11-15,Momauk,1225,1225,TRUE
2020-11-15,Hpakant Market,1425,1425,TRUE
2020-11-15,Mogaung Market,1275,1275,TRUE
2020-11-15,Chipwi Market,1500,1500,TRUE
2020-11-15,Sadung,1400,1400,TRUE
2020-11-15,Sanpya ward,1300,1300,TRUE
2020-11-15,Tanai Market,1233.33,1233.33,TRUE
2020-11-15,Waingmaw,1300,1300,TRUE
2020-11-15,Hpasaung,1250,1250,TRUE
2020-11-15,Shadaw,1250,1250,TRUE
2020-11-15,Thiri Mingalar Market,1200,1200,TRUE
2020-11-15,Thiri Market,1225,1225,TRUE
2020-11-15,Yae Baw Market,1200,1200,TRUE
2020-11-15,KawKareik Myo Ma Market,1275,1275,TRUE
2020-11-15,Ba Yint Naung,1283.33,1283.33,TRUE
2020-11-15,Kanthar,1200,1200,TRUE
2020-11-15,Minbu Myo Ma Market,1200,1200,TRUE
2020-11-15,Pakokku Myo Ma Market,1083.33,1083.33,TRUE
2020-11-15,Mya Thida,1200,1200,TRUE
2020-11-15,Shwe Hin Tar,1200,1200,TRUE
2020-11-15,TBZY Myo Ma Zay,1200,1200,TRUE
2020-11-15,Zay Cho,1200,1200,TRUE
2020-11-15,Bilin Myo Ma Market,1200,1200,TRUE
2020-11-15,Thaton Myo Ma Zay,1200,1200,TRUE
2020-11-15,Kyauk Ta Lone,1350,1350,TRUE
2020-11-15,Buthidaung,1450,1450,TRUE
2020-11-15,Ka Nyin Tan,1450,1450,TRUE
2020-11-15,Nyaung Chung,1500,1500,TRUE
2020-11-15,Ahpauk Wa,1700,1700,TRUE
2020-11-15,Kin Seik,1250,1250,TRUE
2020-11-15,Laung Kyet,1300,1300,TRUE
